issue,issue_name,severity,ip_address,cve
0,issue0,low,144.479.339,CVE-2018-8927
1,issue1,critical,209.560.779,CVE-2002-1262
2,issue2,low,057.052.740,CVE-2005-0481
3,issue3,medium,869.122.061,CVE-2020-4409
4,issue4,low,261.505.935,CVE-2008-3291
5,issue5,critical,880.354.652,CVE-2021-34335
6,issue6,low,573.223.881,CVE-2022-20852
7,issue7,medium,754.324.420,CVE-2022-36157
8,issue8,low,897.786.650,CVE-2019-3799
9,issue9,critical,658.176.524,CVE-2019-15644
10,issue10,medium,305.050.265,CVE-2018-20090
11,issue11,critical,887.272.045,CVE-2006-3766
12,issue12,critical,901.734.782,CVE-2014-2874
13,issue13,medium,059.933.933,CVE-2014-3764
14,issue14,critical,823.994.631,CVE-2003-0711
15,issue15,low,351.170.304,CVE-2019-15750
16,issue16,medium,306.426.797,CVE-2015-4124
17,issue17,critical,528.307.402,CVE-2020-10376
18,issue18,medium,820.549.690,CVE-2018-10043
19,issue19,critical,390.488.513,CVE-2008-2072
20,issue20,low,252.683.442,CVE-2022-29398
21,issue21,low,857.698.290,CVE-2009-3270
22,issue22,low,246.644.245,CVE-2019-14401
23,issue23,low,653.375.676,CVE-2021-28683
24,issue24,low,103.701.492,CVE-2017-1359
25,issue25,medium,136.177.048,CVE-2019-16699
26,issue26,low,460.229.937,CVE-2017-18856
27,issue27,critical,809.635.366,CVE-2022-29561
28,issue28,low,332.998.926,CVE-2019-11628
29,issue29,medium,808.405.396,CVE-2020-8037
30,issue30,medium,967.712.650,CVE-2010-2188
31,issue31,medium,453.351.020,CVE-2009-2029
32,issue32,medium,961.777.866,CVE-2021-2100
33,issue33,medium,457.214.518,CVE-2015-7090
34,issue34,low,535.907.786,CVE-2022-29132
35,issue35,low,227.015.941,CVE-2000-0535
36,issue36,critical,454.596.591,CVE-2021-43392
37,issue37,critical,125.553.265,CVE-2018-0248
38,issue38,medium,289.205.313,CVE-2020-0891
39,issue39,critical,309.011.413,CVE-2021-3027
40,issue40,low,730.868.847,CVE-2007-1236
41,issue41,critical,204.860.558,CVE-2007-1982
42,issue42,medium,909.703.630,CVE-2015-2078
43,issue43,low,661.386.940,CVE-2020-23517
44,issue44,medium,642.078.521,CVE-2020-11559
45,issue45,low,828.296.202,CVE-2020-9404
46,issue46,critical,928.365.260,CVE-2018-1000082
47,issue47,medium,313.344.844,CVE-2021-41133
48,issue48,critical,401.489.106,CVE-2005-0547
49,issue49,low,214.996.219,CVE-2022-22600
50,issue50,critical,870.343.060,CVE-2019-19077
51,issue51,critical,743.799.319,CVE-2020-19093
52,issue52,low,839.102.036,CVE-2021-33931
53,issue53,low,963.847.487,CVE-2020-23052
54,issue54,medium,511.605.215,CVE-2018-15014
55,issue55,low,608.326.188,CVE-2007-1863
56,issue56,low,659.040.518,CVE-2016-3722
57,issue57,critical,222.926.176,CVE-2008-0426
58,issue58,low,989.340.905,CVE-2019-2360
59,issue59,medium,395.299.031,CVE-2008-5873
60,issue60,low,634.997.384,CVE-2006-7252
61,issue61,low,610.040.431,CVE-2022-23277
62,issue62,medium,760.728.762,CVE-2017-6232
63,issue63,low,643.310.626,CVE-2008-2317
64,issue64,medium,912.277.615,CVE-2019-6284
65,issue65,medium,112.951.725,CVE-2015-2086
66,issue66,medium,359.142.823,CVE-2019-6792
67,issue67,low,118.604.533,CVE-2018-19243
68,issue68,medium,028.066.452,CVE-2016-10937
69,issue69,critical,717.533.697,CVE-2022-26429
70,issue70,low,432.765.621,CVE-2020-9066
71,issue71,low,982.815.639,CVE-2005-0697
72,issue72,critical,412.967.888,CVE-2014-0311
73,issue73,medium,395.644.970,CVE-2015-8992
74,issue74,medium,537.747.191,CVE-2022-32099
75,issue75,medium,130.404.109,CVE-2021-28235
76,issue76,low,225.776.025,CVE-2009-3945
77,issue77,critical,819.244.446,CVE-2021-27487
78,issue78,medium,323.878.285,CVE-2020-6069
79,issue79,critical,552.953.884,CVE-2013-4837
80,issue80,medium,238.586.643,CVE-2010-0522
81,issue81,critical,495.493.622,CVE-2018-18679
82,issue82,critical,424.433.335,CVE-2015-8384
83,issue83,medium,695.773.490,CVE-2011-0766
84,issue84,low,274.473.831,CVE-2021-45004
85,issue85,critical,754.211.314,CVE-2020-5574
86,issue86,critical,623.783.436,CVE-2010-2175
87,issue87,critical,437.999.046,CVE-2012-4584
88,issue88,critical,768.822.857,CVE-2018-12254
89,issue89,medium,760.823.854,CVE-2017-3469
90,issue90,low,146.091.194,CVE-2022-1852
91,issue91,critical,209.953.946,CVE-2012-5009
92,issue92,low,105.025.395,CVE-2020-27481
93,issue93,medium,531.644.641,CVE-2021-25824
94,issue94,low,736.290.444,CVE-2012-1156
95,issue95,low,424.110.985,CVE-2006-0476
96,issue96,medium,412.989.655,CVE-2020-5181
97,issue97,medium,615.975.706,CVE-2019-1433
98,issue98,low,487.335.484,CVE-2021-39656
99,issue99,medium,521.911.520,CVE-2017-18530
100,issue100,critical,971.760.404,CVE-2007-5349
101,issue101,medium,747.923.931,CVE-2018-13745
102,issue102,low,375.529.414,CVE-2022-0275
103,issue103,low,736.333.291,CVE-2018-15191
104,issue104,critical,209.887.241,CVE-2007-1245
105,issue105,low,002.357.734,CVE-2019-1248
106,issue106,medium,635.704.603,CVE-2019-0860
107,issue107,critical,832.010.214,CVE-2005-4027
108,issue108,medium,225.615.734,CVE-2020-24809
109,issue109,medium,736.921.400,CVE-2017-16878
110,issue110,medium,467.203.930,CVE-2006-4485
111,issue111,medium,030.478.828,CVE-2010-5001
112,issue112,medium,445.587.926,CVE-2013-3560
113,issue113,low,517.549.392,CVE-2015-9445
114,issue114,medium,534.351.416,CVE-2020-4467
115,issue115,medium,037.867.864,CVE-2005-1416
116,issue116,medium,701.007.216,CVE-2019-20735
117,issue117,critical,213.332.623,CVE-2021-36101
118,issue118,low,743.325.577,CVE-2016-0685
119,issue119,medium,517.915.508,CVE-2021-27961
120,issue120,low,651.228.357,CVE-2020-12044
121,issue121,critical,944.482.108,CVE-2007-4585
122,issue122,low,960.828.930,CVE-2017-2380
123,issue123,critical,462.497.488,CVE-2014-6554
124,issue124,low,281.921.753,CVE-2014-6941
125,issue125,medium,344.461.061,CVE-2010-1269
126,issue126,low,671.142.672,CVE-2021-35647
127,issue127,low,975.175.088,CVE-2018-7535
128,issue128,medium,045.571.148,CVE-2019-19848
129,issue129,medium,776.427.940,CVE-2020-26122
130,issue130,critical,986.911.298,CVE-2017-13684
131,issue131,low,351.510.074,CVE-2008-4225
132,issue132,low,864.039.450,CVE-2020-5389
133,issue133,critical,820.975.217,CVE-2012-0099
134,issue134,medium,585.689.798,CVE-2011-2934
135,issue135,low,046.504.945,CVE-2021-41708
136,issue136,low,200.879.121,CVE-2004-0745
137,issue137,low,839.290.783,CVE-2012-3317
138,issue138,low,891.930.169,CVE-2014-1143
139,issue139,medium,291.368.853,CVE-1999-0988
140,issue140,critical,991.843.070,CVE-2012-1474
141,issue141,medium,964.101.572,CVE-2012-2891
142,issue142,medium,919.685.895,CVE-2016-8012
143,issue143,critical,566.514.426,CVE-2006-5932
144,issue144,medium,924.778.381,CVE-2015-3325
145,issue145,critical,755.155.070,CVE-2014-1319
146,issue146,low,927.562.432,CVE-2018-20304
147,issue147,critical,572.920.690,CVE-2011-2219
148,issue148,low,957.011.012,CVE-2022-33450
149,issue149,critical,062.314.598,CVE-2014-5151
150,issue150,low,277.079.285,CVE-2021-29881
151,issue151,medium,426.068.825,CVE-2022-20017
152,issue152,critical,800.439.969,CVE-2007-3618
153,issue153,low,821.584.745,CVE-2009-3525
154,issue154,medium,382.337.147,CVE-2009-2517
155,issue155,low,604.554.317,CVE-2009-3674
156,issue156,medium,563.400.113,CVE-2020-25394
157,issue157,critical,198.531.385,CVE-2022-0319
